"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1566","TC-059 [Low] Verify password is hidden when user enters it","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","14163","TC-124 [Medium] Verify user can search for a player to add to team","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","5924","TC-207 [Medium] Verify download option is displaying in QR code and user can download","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1186","TC-109 [Medium] Verify discipline and type filter options are displaying","chromium","2026-03-24","passed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","3272","TC-063 [Medium] Verify validation message appears for invalid login credentials","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","1022","TC-061 [High] Verify Sign In button is displaying","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","4221","TC-108a [Medium] Verify record displays when searching by competition name","chromium","2026-03-24","passed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","3596","TC-096 [High] Verify user navigates to the correct page for each menu item","chromium","2026-03-24","passed","2026-03-24","Menu / Navigation","Menu_Navigation.spec.js","",""
"","12224","TC-122 [Low] Verify validation message appears when team name is not entered","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","1332","TC-035b [Low] Verify validation message when last name is blank","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","3009","TC-047 [Medium] Verify clicking Terms & Conditions link shows acceptance content","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1271","TC-031b [Medium] First name accepts only alphabetic values","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","4970","TC-008 [Medium] Ongoing competition details are visible to non-registered users","guest","2026-03-24","passed","2026-03-24","Home Page > Ongoing Competitions","Homepage.spec.js","",""
"","2365","TC-067 [Medium] Verify Forgot Password button is displaying on the login page","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","12174","TC-121 [Low] Verify team name field is displaying as mandatory","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","2140","TC-033 [High] Verify last name field is displaying and user can fill it","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","2596","TC-095 [High] Verify all menu options are displaying properly","chromium","2026-03-24","passed","2026-03-24","Menu / Navigation","Menu_Navigation.spec.js","",""
"","2808","TC-071b [Low] Verify validation message appears for invalid email formats","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","1377","TC-048 [High] Verify user cannot sign up without accepting Terms & Conditions","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1038","TC-183 [High] Verify clicking View All redirects to Discover page","chromium","2026-03-24","passed","2026-03-24","Player Venues","Player_Venues.spec.js","",""
"","3127","TC-062 [High] Verify user is able to sign in with valid credentials","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","12487","TC-123 [Medium] Verify Add Team Member field is displaying","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","979","TC-030 [High] Verify first name field is displaying and user can fill it","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
